2 103.86 87.7133333333
3 118.33 103.586666667
4 143.833333333 109.246666667
5 179.766666667 145.05
6 203.2 168.2
7 217.266666667 180.966666667
8 243.533333333 192.5
9 264.133333333 227.7
10 291.166666667 233.566666667
11 312.4 241.733333333
12 347.166666667 270.3
13 362.766666667 292.566666667
14 395.2 305.533333333
15 457.366666667 325.766666667
16 483.433333333 335.4
17 536.766666667 355.366666667
18 544.2 379.1
19 549.233333333 405.633333333
20 577.633333333 442.333333333
21 606.166666667 442.633333333
22 637.033333333 462.433333333
23 657.933333333 489.266666667
24 693.733333333 511.833333333
25 713.3 527.866666667
26 745.733333333 554.966666667
27 775.4 576.2
28 802.233333333 589.733333333
29 835.666666667 614.566666667
30 858.033333333 635.333333333
